year,country,region,pf_ss_women_fgm,pf_ss_women_inheritance,pf_movement_women,pf_identity_sex_female,pf_identity_divorce,pf_score,ef_score,hf_score,sex,age,suicides_no,population,suicides_p100k,gdp_per_capita
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,female,55-74,176,1262327,13.94,42830
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,male,15-24,93,671971,13.84,42830
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,female,25-34,45,726357,6.2,42830
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,female,15-24,21,649587,3.23,42830
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,female,5-14,2,622189,0.32,42830
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,male,5-14,2,651450,0.31,42830
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,male,75+,1,2264,44.17,5561
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,male,25-34,9,28956,31.08,5561
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,male,55-74,3,13996,21.43,5561
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,male,35-54,4,37895,10.56,5561
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,male,5-14,3,39041,7.68,5561
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,female,55-74,1,13642,7.33,5561
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,male,15-24,2,36971,5.41,5561
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,female,35-54,2,39103,5.11,5561
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,female,15-24,1,37114,2.69,5561
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,female,25-34,0,30312,0,5561
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,female,5-14,0,38109,0,5561
2015,Belize,Latin America & the Caribbean,NA,10,NA,10,NA,7.09458405,6.81,6.952292025,female,75+,0,2432,0,5561
